Factor,Pearson,p-value,Spearman,Significant,Error
momentum,0.43649626422203003,4.144931731304991e-17,0.42955646969071953,Yes,
technical,0.06670031036815038,0.22198537870852897,0.21411403320992134,Yes,
liquidity,0.06286052761510383,0.24980764422619486,0.1397456344012725,Yes,
options_flow,0.04264349931144795,0.4352278791989759,0.11731637618376972,Yes,
financial_health,0.05261759343040597,0.3355430522882756,0.11227221262307971,Yes,
growth,0.12700378096311749,0.019686564742930093,0.06872270418392684,Yes,
insider,0.10048157090718438,0.0654154665140978,0.06428036441064934,No,
value,0.19191027089199902,0.0003957513290841402,0.05827878944566073,Yes,
size,0.05632915903839147,0.3025208374733725,0.03880950272174403,No,
carry,0.009216475345407179,0.8661372890604169,-0.0739489246601067,No,
quality,-0.13227543882538498,0.015102225092975076,-0.16233009978935747,Yes,
stability,-0.1887569032054909,0.0004947046036391058,-0.207351985005072,Yes,
